id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
1,Panadol Regular,Nyeri & Demam,12000.0,390,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; Gejala: demam; sakit kepala; nyeri",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; demam; sakit kepala; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang: ruam kulit,2028-12-31,Produk,/medicines/Panadol Regular.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2,Panadol Extra,Nyeri & Demam,15000.0,170,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam; Gejala: migrain; sakit kepala berat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam; migrain; sakit kepala berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Berdebar (dosis tinggi),2028-12-31,Produk,/medicines/Panadol Extra.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
3,Panadol Biru,Nyeri & Demam,12000.0,209,Paracetamol 500mg,Demam dan nyeri ringan; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri ringan; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Produk,/medicines/Panadol Biru.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
4,Panadol Cold & Flu,Nyeri & Demam,18500.0,271,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat; Gejala: flu; demam; hidung tersumbat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat; flu; demam; hidung tersumbat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Mengantuk ringan,2026-12-31,Produk,/medicines/Panadol Cold & Flu.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
5,Panadol Anak Sirup,Nyeri & Demam,32000.0,468,Paracetamol 120mg/5ml,Demam dan nyeri pada anak; Gejala: demam anak; panas bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam dan nyeri pada anak; demam anak; panas bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Sirup,/medicines/Panadol Anak Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
6,Panadol Box 100s,Nyeri & Demam,85000.0,62,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; Gejala: panadol isi banyak; demam",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; panadol isi banyak; demam; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2029-01-15,Produk,/medicines/Panadol Box 100s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
7,Sanmol Strip 4s,Nyeri & Demam,6000.0,492,Paracetamol 500mg,Demam dan nyeri ringan; Gejala: demam; panas; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri ringan; demam; panas; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang: ruam kulit,2028-03-15,Produk,/medicines/Sanmol Strip 4s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
8,Sanmol Sirup,Nyeri & Demam,22000.0,395,Paracetamol 120mg/5ml,Demam anak; Gejala: demam anak; panas anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; panas anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Sirup,/medicines/Sanmol Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
9,Sanmol Forte Sirup,Nyeri & Demam,28000.0,250,Paracetamol 250mg/5ml,Demam tinggi anak; Gejala: demam tinggi anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 250mg/5ml,Demam tinggi anak; demam tinggi anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Sirup,/medicines/Sanmol Forte Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
10,Sanmol Drops,Nyeri & Demam,35000.0,108,Paracetamol 100mg/ml,Demam bayi; Gejala: demam bayi; panas bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 100mg/ml,Demam bayi; demam bayi; panas bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Tetes,/medicines/Sanmol Drops.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
