tag,pattern
salam,hai
salam,halo
salam,hi
salam,hello
salam,hy
salam,hay
salam,selamat pagi
salam,pagi
salam,pagi dok
salam,selamat siang
salam,siang
salam,selamat sore
salam,sore
salam,selamat malam
salam,malam
salam,halo apotek
salam,hai apotek
salam,halo apotik
salam,permisi
salam,permisi dok
salam,assalamualaikum
salam,assalamu alaikum
salam,salam
salam,hallo
salam,helo
salam,helo apotek
salam,mau tanya
salam,mau tanya dong
salam,boleh tanya
salam,ada yang bisa bantu
salam,bisa bantu
salam,butuh bantuan
salam,saya mau konsultasi
salam,konsultasi dong
salam,apa kabar
salam,gimana kabarnya
salam,salam kenal
salam,kenalan dulu
salam,test
salam,testing
salam,tes
salam,coba
salam,selamat pagi apotek
salam,halo selamat pagi
salam,permisi mau tanya
salam,permisi boleh tanya
salam,maaf ganggu
salam,maaf mengganggu
perpisahan,terima kasih
perpisahan,terimakasih
perpisahan,makasih
perpisahan,thanks
perpisahan,thank you
perpisahan,thx
perpisahan,tq
perpisahan,sampai jumpa
perpisahan,jumpa lagi
perpisahan,sampai ketemu
perpisahan,ketemu lagi
perpisahan,bye
perpisahan,dadah
perpisahan,dah
perpisahan,byebye
perpisahan,good bye
perpisahan,selesai
perpisahan,cukup
perpisahan,sudah cukup
perpisahan,sudah selesai
perpisahan,oke terima kasih
perpisahan,ok makasih
perpisahan,oke thanks
perpisahan,sudah jelas
perpisahan,sudah paham
perpisahan,sudah mengerti
perpisahan,sip
perpisahan,sip makasih
perpisahan,oke sip
perpisahan,baik terima kasih
perpisahan,baik makasih
perpisahan,ok noted
perpisahan,makasih ya
perpisahan,makasih banyak
perpisahan,terima kasih banyak
perpisahan,thanks ya
perpisahan,thank you so much
perpisahan,oke deh
perpisahan,udah ya
perpisahan,udah dulu
perpisahan,segitu aja
perpisahan,cukup segitu
perpisahan,itu aja dulu
perpisahan,terima kasih infonya
perpisahan,makasih infonya
perpisahan,thanks infonya
perpisahan,ok sudah
perpisahan,ok done
perpisahan,selesai sudah
tanya_obat,obat apa untuk demam
tanya_obat,obat demam
tanya_obat,saya demam
tanya_obat,anak demam
tanya_obat,panas badan
tanya_obat,saya sakit demam
tanya_obat,ada obat untuk demam
tanya_obat,rekomendasi obat demam
tanya_obat,obat penurun panas
tanya_obat,badan panas
tanya_obat,obat apa untuk batuk
tanya_obat,obat batuk
tanya_obat,saya batuk
tanya_obat,anak batuk
tanya_obat,ada obat batuk
tanya_obat,rekomendasi obat batuk
tanya_obat,batuk berdahak
tanya_obat,batuk kering
tanya_obat,batuk pilek
tanya_obat,obat apa untuk pilek
tanya_obat,obat pilek
tanya_obat,saya pilek
tanya_obat,anak pilek
tanya_obat,hidung tersumbat
tanya_obat,hidung meler
tanya_obat,flu
tanya_obat,obat flu
tanya_obat,saya flu
tanya_obat,obat apa untuk sakit kepala
tanya_obat,obat sakit kepala
tanya_obat,kepala sakit
tanya_obat,kepala pusing
tanya_obat,pusing
tanya_obat,migrain
tanya_obat,obat migrain
tanya_obat,obat apa untuk mual
tanya_obat,obat mual
tanya_obat,saya mual
tanya_obat,mual muntah
tanya_obat,obat apa untuk diare
tanya_obat,obat diare
tanya_obat,saya diare
tanya_obat,mencret
tanya_obat,obat mencret
tanya_obat,sakit perut
tanya_obat,obat sakit perut
tanya_obat,perut mulas
tanya_obat,obat apa untuk alergi
tanya_obat,obat alergi
tanya_obat,saya alergi
tanya_obat,gatal gatal
tanya_obat,obat gatal
tanya_obat,obat apa untuk maag
tanya_obat,obat maag
tanya_obat,sakit lambung
tanya_obat,asam lambung
tanya_obat,heartburn
tanya_obat,obat apa untuk hipertensi
tanya_obat,obat darah tinggi
tanya_obat,tekanan darah tinggi
tanya_obat,obat apa untuk diabetes
tanya_obat,obat diabetes
tanya_obat,gula darah tinggi
tanya_obat,obat kolesterol
tanya_obat,kolesterol tinggi
tanya_obat,obat apa untuk infeksi
tanya_obat,obat infeksi
tanya_obat,antibiotik
tanya_obat,butuh antibiotik
tanya_obat,obat apa untuk nyeri
tanya_obat,obat nyeri
tanya_obat,nyeri sendi
tanya_obat,nyeri otot
tanya_obat,obat pereda nyeri
tanya_obat,obat apa untuk luka
tanya_obat,obat luka
tanya_obat,obat salep luka
tanya_obat,cari obat
tanya_obat,mau beli obat
tanya_obat,butuh obat
tanya_obat,obat apa yang bagus
tanya_obat,obat yang direkomendasikan
tanya_obat,apa obatnya
tanya_obat,obat untuk anak
tanya_obat,obat anak demam
tanya_obat,obat anak batuk
efek_samping,efek samping paracetamol
efek_samping,efek samping amoxicillin
efek_samping,efek samping ibuprofen
efek_samping,efek samping aspirin
efek_samping,efek samping antibiotik
efek_samping,bahaya paracetamol
efek_samping,apa efek samping paracetamol
efek_samping,apakah paracetamol aman
efek_samping,efek paracetamol
efek_samping,side effect paracetamol
efek_samping,risiko amoxicillin
efek_samping,efek sampingnya apa
efek_samping,kalo minum paracetamol ada efek samping ga
efek_samping,aman ga paracetamol
efek_samping,aman gak obat ini
efek_samping,berbahaya ga obat ini
efek_samping,ada efek buruk ga
efek_samping,dampak negatif obat
efek_samping,paracetamol aman untuk anak
efek_samping,paracetamol aman untuk ibu hamil
efek_samping,kontraindikasi paracetamol
