file,match,score,action
Acarbose Tablet,Acarbose Tablet,1.0,copied
Acne-Aid Bar Sabun,Acne-Aid Bar Sabun,1.0,copied
Acnevil Gel,Acnevil Gel,1.0,copied
Actalipid Tablet,Actalipid Tablet,1.0,copied
Activated Charcoal Kapsul,Activated Charcoal Kapsul,1.0,copied
Afrin Nasal Spray,Afrin Nasal Spray,1.0,copied
Alpha Lipoic Acid Kapsul,Alpha Lipoic Acid Kapsul,1.0,copied
ALPHOSYL 30g,Alphosyl HC Krim,0.67,copied
Ambroxol Tablet,Ambroxol Tablet,1.0,copied
Amlodipine Tablet 5mg,Amlodipine Tablet 5mg,1.0,copied
Amoxicillin Kapsul 500mg,Amoxicillin Kapsul 500mg,1.0,copied
Ampicillin Kapsul 500mg,Ampicillin Kapsul 500mg,1.0,copied
Antalgin Tablet,Antalgin Tablet,1.0,copied
Antimo Anak Sirup,Antimo Anak Sirup,1.0,copied
Antimo Tablet,Antimo Tablet,1.0,copied
Aspirin 500mg Tablet,Aspirin 500mg Tablet,1.0,copied
Aspirin 80mg Kardio,Aspirin 80mg Kardio,1.0,copied
Atorvastatin 10mg,Atorvastatin 10mg,1.0,copied
Avil Tablet,Avil Tablet,1.0,copied
Becom C Tablet,Becom C Tablet,1.0,copied
Becom Z Kapsul,Becom Z Kapsul,1.0,copied
Benadryl Sirup 60ml,Benadryl Sirup 60ml,1.0,copied
Benzolac Gel 2.5%,Benzolac Gel 2.5%,1.0,copied
Benzoyl Peroxide 5% Gel,Benzoyl Peroxide 5% Gel,1.0,copied
Berocca Effervescent,Berocca Effervescent,1.0,copied
Betadine Feminine Gel,Betadine Feminine Gel,1.0,copied
Betadine Feminine Wash,Betadine Feminine Wash,1.0,copied
Betahistine Tablet,Betahistine Tablet,1.0,copied
Bifodan Kapsul,Bifodan Kapsul,1.0,copied
Bilastine Tablet 20mg,Bilastine Tablet 20mg,1.0,copied
Bio Lacto B Drops,Bio Lacto B Drops,1.0,copied
Biogesic Tablet,Biogesic Tablet,1.0,copied
Biolysin Sirup,Biolysin Sirup,1.0,copied
Bioron Tablet,Bioron Tablet,1.0,copied
Biotin Tablet 2.5mg,Biotin Tablet 2.5mg,1.0,copied
Bisacodyl Suppositoria Anak,Bisacodyl Suppositoria Anak,1.0,copied
Bitter Melon Kapsul,Bitter Melon Kapsul,1.0,copied
Blackmores Vitamin C 500mg,Blackmores Vitamin C 500mg,1.0,copied
Bodrexin Tablet,Bodrexin Tablet,1.0,copied
Budesonide Nasal Spray,Budesonide Nasal Spray,1.0,copied
Caladryl Lotion,Caladryl Lotion,1.0,copied
Calcigran Sirup,Calcigran Sirup,1.0,copied
Calcipotriol Cream,Calcipotriol Cream,1.0,copied
Calcium Pantothenate,Calcium Pantothenate,1.0,copied
Candesartan Tablet,Candesartan Tablet,1.0,copied
Canesten Krim Vaginal,Canesten Krim Vaginal,1.0,copied
