name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
A Vogel Devils Claw Harpagophytum,-,"A Vogel Devils Claw Harpagophytum digunakan untuk membantu meredakan pegal linu, dan membantu menjaga kesehatan tubuh.",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,16000,123,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/a-vogel-devils-claw-harpagophytum
Abajos,-,"Abajos mengandung Paracetamol, Vitamin B1, Vitamin B6, dan Vitamin B12.",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,12000,179,,https://www.klikdokter.com/obat/obat-antinyeri/abajos
ABC Menthol Cone,-,ABC Menthol Cone dapat digunakan sebagai inhaler maupun obat gosok.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,27000,160,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/abc-menthol-cone
Abdelyn,-,Abdelyn merupakan suplemen yang digunakan untuk membantu memenuhi kebutuhan vitamin pada anak.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,110500,118,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/abdelyn
Abetens,-,Abetens digunakan untuk membantu menurunkan tekanan darah.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,23000,101,,https://www.klikdokter.com/obat/obat-herbal/abetens
Abu Ali,-,Abu Ali digunakan untuk membantu memelihara daya tahan tubuh.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,31500,108,,https://www.klikdokter.com/obat/obat-herbal/abu-ali
Abufen C,-,"Abufen C adalah obat untuk mengatasi sakit akibat radang sendi dan otot. Cari tahu bagaimana cara penggunaan, dosis, hingga efek sampingnya",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,31500,185,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/zqTjt2D57X7LfjGOQV0oU/original/052048900_1483448302-topic_article_Kenali-Gaya-Hidup-Penyebab-Radang-Sendi.jpg,https://www.klikdokter.com/obat/obat-antinyeri/abufen-c
Acai Plus,-,Acai Plus digunakan untuk membantu mengurangi berat badan dan membantu menekan nafsu makan.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,12000,155,,https://www.klikdokter.com/obat/obat-herbal/acai-plus
Ace Max's,-,Ace Max’s adalah obat tradisional yang digunakan sebagai antioksidan alami sekaligus membantu menjaga kesehatan tubuh.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,58000,177,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/ace-maxs
Acetin,-,"Acetin mengandung zat aktif Acetylcysteine, obat yang termasuk agen mukolitik.",Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,31000,117,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/acetin
Acetram,-,Acetram adalah obat yang digunakan untuk mengatasi nyeri ringan/sedang sampai berat dengan kandungan Parasetamol dan Tramadol. Obat ini tersedia dalam bentuk tablet salut selaput.,Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,25000,179,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/Mka4FC2JwWy40NDaS5htY/original/6l5fj20v5uzxwnq82o80yoop0pydc2zx.jpeg,https://www.klikdokter.com/obat/obat-antinyeri/acetram
